instance,model,status,status_label,objective,best_bound,gap,sol_count,runtime_seconds,wall_seconds,node_count,explored_nodes_log,simplex_iterations,barrier_iterations,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,presolve_time_seconds,presolve_rows_removed,presolve_cols_removed,cuts_total,cuts_breakdown,num_vars,num_bin_vars,num_int_vars,num_cont_vars,num_constrs,is_mip,error
Inst_07_Medium_Inspire_16,station_copies,2,OPTIMAL,5000.0,5000.0,0.0,5,640.9493849277496,641.262,7078.0,7078,4224298.0,0,2139.06,14294,2.64,0.11,9696,4320,575,"{""Gomory"": 4, ""Cover"": 8, ""Implied bound"": 262, ""Projected implied bound"": 1, ""MIR"": 151, ""Flow cover"": 124, ""Inf proof"": 2, ""Zero half"": 1, ""RLT"": 16, ""Relax-and-lift"": 6}",16564,5524,5524,11040,16912,True,
Inst_08_Medium_Phantom_16,ribeiro,9,TIME_LIMIT,4600.0,400.0,0.9130434782608695,10,1800.0111010074615,1800.055,758152.0,758152,92484832.0,0,0.0,210,0.0,0.05,195,7,233,"{""Learned"": 9, ""Gomory"": 6, ""Cover"": 8, ""Implied bound"": 39, ""Projected implied bound"": 12, ""Clique"": 3, ""MIR"": 19, ""Mixing"": 1, ""StrongCG"": 1, ""Flow cover"": 75, ""GUB cover"": 13, ""Inf proof"": 21, ""Zero half"": 1, ""Relax-and-lift"": 25}",491,424,449,42,1464,True,
Inst_08_Medium_Phantom_16,drone_index,9,TIME_LIMIT,4600.0,3400.0,0.2608695652173913,9,1800.0281808376312,1800.319,9121.0,9121,6963906.0,0,1910.259,29429,7.87,0.19,3200,1600,1350,"{""Gomory"": 1, ""Cover"": 68, ""Implied bound"": 42, ""Projected implied bound"": 12, ""Clique"": 50, ""MIR"": 90, ""Flow cover"": 516, ""GUB cover"": 8, ""Zero half"": 4, ""RLT"": 31, ""Relax-and-lift"": 20, ""BQP"": 13, ""Lazy"": 495}",13716,6996,6996,6720,14340,True,
Inst_08_Medium_Phantom_16,station_copies,9,TIME_LIMIT,4600.0,3600.0,0.21739130434782608,7,1800.012876033783,1800.542,20858.0,20858,7771353.0,0,1911.763,11473,1.14,0.12,9696,4320,441,"{""Gomory"": 4, ""Lift-and-project"": 1, ""Cover"": 1, ""Implied bound"": 238, ""Clique"": 2, ""MIR"": 92, ""Mixing"": 5, ""Flow cover"": 73, ""GUB cover"": 1, ""Zero half"": 3, ""RLT"": 10, ""Relax-and-lift"": 3, ""BQP"": 8}",16564,5524,5524,11040,16912,True,
Inst_09_Medium_Inspire_16,ribeiro,9,TIME_LIMIT,7000.0,0.0,1.0,7,1800.0070128440857,1800.09,907864.0,907864,92456889.0,0,0.0,169,0.01,0.12,195,7,81,"{""Learned"": 2, ""Cover"": 1, ""Implied bound"": 13, ""Projected implied bound"": 8, ""MIR"": 10, ""Mixing"": 2, ""Flow cover"": 35, ""GUB cover"": 3, ""RLT"": 1, ""Relax-and-lift"": 6}",491,424,449,42,1464,True,
Inst_09_Medium_Inspire_16,drone_index,9,TIME_LIMIT,5000.0,4000.0,0.2,6,1800.0156269073486,1800.304,3258.0,3258,3109942.0,0,1994.888,29339,7.91,0.19,3200,1600,889,"{""Cover"": 147, ""Implied bound"": 30, ""Projected implied bound"": 4, ""Clique"": 36, ""MIR"": 55, ""Flow cover"": 310, ""GUB cover"": 32, ""Zero half"": 10, ""RLT"": 12, ""Relax-and-lift"": 11, ""BQP"": 26, ""Lazy"": 216}",13716,6996,6996,6720,14340,True,
Inst_09_Medium_Inspire_16,station_copies,2,OPTIMAL,5000.0,5000.0,0.0,4,518.9301018714905,519.251,15254.0,15254,3455482.0,0,2029.002,12501,1.38,0.12,9696,4320,695,"{""Gomory"": 3, ""Lift-and-project"": 1, ""Cover"": 21, ""Implied bound"": 265, ""Clique"": 3, ""MIR"": 193, ""Flow cover"": 167, ""GUB cover"": 1, ""Inf proof"": 1, ""Zero half"": 4, ""Network"": 1, ""RLT"": 27, ""Relax-and-lift"": 8}",16564,5524,5524,11040,16912,True,
Inst_10_Medium_Phantom_16,ribeiro,9,TIME_LIMIT,4600.0,1000.0,0.782608695652174,10,1800.0051209926605,1800.09,1061953.0,1061953,91959689.0,0,0.0,179,0.01,0.09,197,7,223,"{""Learned"": 2, ""Gomory"": 3, ""Cover"": 4, ""Implied bound"": 12, ""Projected implied bound"": 12, ""MIR"": 8, ""Mixing"": 2, ""StrongCG"": 2, ""Flow cover"": 110, ""GUB cover"": 8, ""Inf proof"": 3, ""Zero half"": 5, ""RLT"": 4, ""Relax-and-lift"": 48}",491,424,449,42,1464,True,
Inst_10_Medium_Phantom_16,drone_index,9,TIME_LIMIT,4400.0,3000.0,0.3181818181818182,10,1800.0061221122742,1800.299,23949.0,23949,12362335.0,0,1334.577,26547,6.08,0.18,3200,1600,170,"{""Cover"": 22, ""Implied bound"": 30, ""Clique"": 11, ""MIR"": 19, ""Flow cover"": 53, ""GUB cover"": 1, ""RLT"": 4, ""Relax-and-lift"": 2, ""BQP"": 15, ""Lazy"": 13}",13716,6996,6996,6720,14340,True,
Inst_10_Medium_Phantom_16,station_copies,9,TIME_LIMIT,4400.0,3200.0,0.2727272727272727,9,1800.0434799194336,1800.364,20657.0,20657,5812641.0,0,1431.997,13008,1.66,0.11,9696,4320,465,"{""Cover"": 1, ""Implied bound"": 251, ""Projected implied bound"": 1, ""Clique"": 1, ""MIR"": 120, ""Flow cover"": 62, ""Zero half"": 4, ""RLT"": 14, ""Relax-and-lift"": 8, ""BQP"": 3}",16564,5524,5524,11040,16912,True,
Inst_11_Medium_Inspire_23,ribeiro,9,TIME_LIMIT,10000.0,0.0,1.0,10,1800.0096340179443,1800.181,282220.0,282220,64374431.0,0,0.0,428,0.02,0.13,391,9,224,"{""Implied bound"": 30, ""Projected implied bound"": 13, ""MIR"": 9, ""Flow cover"": 98, ""GUB cover"": 2, ""Zero half"": 2, ""RLT"": 9, ""Relax-and-lift"": 61}",972,876,912,60,3020,True,
Inst_11_Medium_Inspire_23,drone_index,9,TIME_LIMIT,10000.0,4000.0,0.6,4,1800.0098509788513,1801.558,1185.0,1185,2392914.0,0,2668.56,3520,0.16,0.58,9338,4669,152,"{""Cover"": 12, ""Implied bound"": 23, ""Clique"": 13, ""MIR"": 11, ""Flow cover"": 12, ""RLT"": 1, ""BQP"": 1, ""Lazy"": 79}",40578,20568,20568,20010,41843,True,
Inst_11_Medium_Inspire_23,station_copies,9,TIME_LIMIT,7000.0,4000.0,0.42857142857142855,6,1800.0312931537628,1802.37,1224.0,1224,1895125.0,0,2759.452,5102,0.24,0.54,42228,19504,919,"{""Gomory"": 1, ""Cover"": 8, ""Implied bound"": 673, ""Clique"": 6, ""MIR"": 76, ""Flow cover"": 99, ""Zero half"": 13, ""Network"": 3, ""RLT"": 28, ""Relax-and-lift"": 5, ""BQP"": 7}",69144,23052,23052,46092,69828,True,
Inst_12_Medium_Phantom_23,ribeiro,9,TIME_LIMIT,9000.0,1000.0,0.8888888888888888,10,1800.0121948719025,1800.178,283932.0,283932,61333753.0,0,0.0,546,0.03,0.14,389,9,464,"{""Learned"": 2, ""Cover"": 19, ""Implied bound"": 35, ""Projected implied bound"": 15, ""Clique"": 4, ""MIR"": 48, ""Mixing"": 2, ""StrongCG"": 9, ""Flow cover"": 167, ""GUB cover"": 42, ""Inf proof"": 25, ""Zero half"": 19, ""RLT"": 3, ""Relax-and-lift"": 74}",972,876,912,60,3020,True,
Inst_12_Medium_Phantom_23,drone_index,9,TIME_LIMIT,,2600.0,,0,1800.0505228042603,1801.447,1169.0,1169,1901837.0,0,1546.46,3601,0.15,0.59,9338,4669,236,"{""Cover"": 17, ""Implied bound"": 54, ""Clique"": 9, ""MIR"": 9, ""Flow cover"": 21, ""Flow path"": 1, ""RLT"": 3, ""BQP"": 2, ""Lazy"": 120}",40578,20568,20568,20010,41843,True,
Inst_12_Medium_Phantom_23,station_copies,9,TIME_LIMIT,5600.0,2800.0,0.5,6,1800.021141052246,1801.735,1078.0,1078,1612053.0,0,1749.427,4922,0.33,0.5,42228,19504,629,"{""Cover"": 4, ""Implied bound"": 447, ""Clique"": 10, ""MIR"": 71, ""Flow cover"": 66, ""Zero half"": 1, ""Mod-K"": 1, ""Network"": 2, ""RLT"": 7, ""Relax-and-lift"": 2, ""BQP"": 18}",69144,23052,23052,46092,69828,True,
Inst_13_Medium_Inspire_23,ribeiro,9,TIME_LIMIT,7000.0,0.0,1.0,10,1800.0100049972534,1800.089,248511.0,248511,63622263.0,0,0.0,481,0.01,0.06,386,9,264,"{""Learned"": 1, ""Cover"": 1, ""Implied bound"": 26, ""Projected implied bound"": 20, ""Clique"": 1, ""MIR"": 11, ""Mixing"": 2, ""Flow cover"": 123, ""GUB cover"": 2, ""Inf proof"": 1, ""Zero half"": 3, ""RLT"": 5, ""Relax-and-lift"": 68}",972,876,912,60,3020,True,
Inst_13_Medium_Inspire_23,drone_index,9,TIME_LIMIT,7000.0,4000.0,0.42857142857142855,5,1800.0036988258362,1801.465,1170.0,1170,1433061.0,0,2758.033,3269,0.17,0.57,9338,4669,736,"{""Cover"": 142, ""Implied bound"": 46, ""Projected implied bound"": 7, ""Clique"": 42, ""MIR"": 24, ""Flow cover"": 335, ""GUB cover"": 19, ""Zero half"": 10, ""RLT"": 6, ""Relax-and-lift"": 21, ""BQP"": 15, ""PSD"": 2, ""Lazy"": 67}",40578,20568,20568,20010,41843,True,
Inst_13_Medium_Inspire_23,station_copies,2,OPTIMAL,5000.0,5000.0,0.0,4,469.9089388847351,471.548,255.0,255,658502.0,0,2872.457,6019,0.31,1.01,42228,19504,666,"{""Gomory"": 2, ""Lift-and-project"": 1, ""Cover"": 6, ""Implied bound"": 299, ""Clique"": 1, ""MIR"": 138, ""StrongCG"": 1, ""Flow cover"": 167, ""GUB cover"": 2, ""RLT"": 35, ""Relax-and-lift"": 1, ""BQP"": 13}",69144,23052,23052,46092,69828,True,
Inst_14_Medium_Phantom_23,ribeiro,9,TIME_LIMIT,9200.0,2000.0,0.782608695652174,10,1800.0086879730225,1800.087,398531.0,398531,69835825.0,0,0.0,667,0.02,0.07,403,9,81,"{""Learned"": 1, ""Cover"": 9, ""Implied bound"": 1, ""Projected implied bound"": 3, ""Clique"": 6, ""MIR"": 2, ""Flow cover"": 19, ""GUB cover"": 30, ""Zero half"": 4, ""Relax-and-lift"": 6}",972,876,912,60,3020,True,
Inst_14_Medium_Phantom_23,drone_index,9,TIME_LIMIT,,3400.0,,0,1800.0072469711304,1800.839,45.0,45,1263143.0,0,2264.582,4333,0.17,0.57,9338,4669,741,"{""Cover"": 33, ""Implied bound"": 68, ""Clique"": 18, ""MIR"": 26, ""Flow cover"": 262, ""Flow path"": 2, ""GUB cover"": 9, ""RLT"": 70, ""Relax-and-lift"": 1, ""BQP"": 26, ""PSD"": 1, ""Lazy"": 225}",40578,20568,20568,20010,41843,True,
Inst_14_Medium_Phantom_23,station_copies,9,TIME_LIMIT,9000.0,3400.0,0.6222222222222222,7,1800.015459060669,1801.379,497.0,497,2724029.0,0,2459.612,5761,0.58,0.5,42228,19504,1009,"{""Gomory"": 1, ""Cover"": 7, ""Implied bound"": 777, ""Clique"": 11, ""MIR"": 73, ""Flow cover"": 102, ""Zero half"": 1, ""Mod-K"": 1, ""Network"": 1, ""RLT"": 34, ""Relax-and-lift"": 1}",69144,23052,23052,46092,69828,True,
Inst_15_Medium_Inspire_23,ribeiro,9,TIME_LIMIT,10000.0,0.0,1.0,10,1800.0145258903503,1800.095,241280.0,241280,60183068.0,0,0.0,513,0.01,0.06,392,9,330,"{""Learned"": 10, ""Implied bound"": 24, ""Projected implied bound"": 29, ""MIR"": 13, ""Mixing"": 2, ""Flow cover"": 144, ""GUB cover"": 2, ""Zero half"": 3, ""RLT"": 10, ""Relax-and-lift"": 93}",972,876,912,60,3020,True,
Inst_15_Medium_Inspire_23,drone_index,9,TIME_LIMIT,10000.0,4000.0,0.6,1,1800.0134689807892,1801.701,1202.0,1202,2089807.0,0,2452.299,3743,0.15,0.58,9338,4669,772,"{""Cover"": 111, ""Implied bound"": 45, ""Clique"": 29, ""MIR"": 31, ""Flow cover"": 176, ""GUB cover"": 22, ""Zero half"": 1, ""RLT"": 34, ""Relax-and-lift"": 3, ""BQP"": 67, ""PSD"": 2, ""Lazy"": 251}",40578,20568,20568,20010,41843,True,
Inst_15_Medium_Inspire_23,station_copies,9,TIME_LIMIT,7000.0,4000.0,0.42857142857142855,10,1800.0243229866028,1801.382,301.0,301,1549479.0,0,2715.334,6371,0.53,0.97,42228,19504,1444,"{""Cover"": 1, ""Implied bound"": 805, ""Clique"": 3, ""MIR"": 283, ""Flow cover"": 328, ""Mod-K"": 1, ""Network"": 1, ""RLT"": 17, ""Relax-and-lift"": 3, ""BQP"": 2}",69144,23052,23052,46092,69828,True,
Inst_16_Hard_Phantom_35,ribeiro,9,TIME_LIMIT,10200.0,0.0,1.0,10,1800.0043330192566,1800.381,51488.0,51488,18019968.0,0,0.0,696,0.04,0.15,820,12,487,"{""Cover"": 13, ""Implied bound"": 34, ""Projected implied bound"": 19, ""Clique"": 3, ""MIR"": 88, ""StrongCG"": 4, ""Flow cover"": 169, ""GUB cover"": 22, ""Inf proof"": 1, ""Zero half"": 5, ""RLT"": 2, ""Relax-and-lift"": 127}",2133,1989,2043,90,6824,True,
Inst_16_Hard_Phantom_35,drone_index,9,TIME_LIMIT,,2800.0,,0,1800.0075340270996,1804.07,1.0,1,325371.0,20,2196.486,2753,0.63,3.56,30800,15400,246,"{""Lift-and-project"": 3, ""Cover"": 10, ""Implied bound"": 58, ""Clique"": 4, ""MIR"": 15, ""Flow cover"": 56, ""GUB cover"": 3, ""RLT"": 1, ""BQP"": 11, ""Lazy"": 85}",139869,70569,70569,69300,142739,True,
Inst_16_Hard_Phantom_35,station_copies,9,TIME_LIMIT,8800.0,3000.0,0.6590909090909091,5,1800.0496261119843,1806.74,1.0,1,240120.0,30,2381.179,3093,1.41,2.31,211575,100240,542,"{""Cover"": 27, ""Implied bound"": 442, ""MIR"": 31, ""Flow cover"": 40, ""Zero half"": 2}",336429,112149,112149,224280,337890,True,
Inst_17_Hard_Inspire_35,ribeiro,9,TIME_LIMIT,16000.0,0.0,1.0,10,1800.007504940033,1800.191,73651.0,73651,20507782.0,0,0.0,599,0.02,0.07,820,12,371,"{""Cover"": 4, ""Implied bound"": 29, ""Projected implied bound"": 42, ""Clique"": 3, ""MIR"": 10, ""Mixing"": 20, ""Flow cover"": 111, ""GUB cover"": 4, ""Zero half"": 2, ""RLT"": 4, ""Relax-and-lift"": 142}",2133,1989,2043,90,6824,True,
Inst_17_Hard_Inspire_35,drone_index,9,TIME_LIMIT,,4000.0,,0,1800.0041019916534,1804.066,1.0,1,299222.0,14,3078.011,2837,0.56,3.53,30800,15400,1147,"{""Cover"": 86, ""Implied bound"": 65, ""Clique"": 67, ""MIR"": 39, ""Flow cover"": 454, ""GUB cover"": 3, ""RLT"": 126, ""Relax-and-lift"": 1, ""BQP"": 13, ""PSD"": 1, ""Lazy"": 292}",139869,70569,70569,69300,142739,True,
Inst_17_Hard_Inspire_35,station_copies,9,TIME_LIMIT,12000.0,5000.0,0.5833333333333334,6,1800.0484459400177,1809.189,1.0,1,100627.0,26,3568.611,3500,2.82,2.71,211575,100240,1052,"{""Cover"": 4, ""Implied bound"": 935, ""Clique"": 3, ""MIR"": 24, ""Flow cover"": 80, ""Zero half"": 3, ""Relax-and-lift"": 3}",336429,112149,112149,224280,337890,True,
Inst_18_Hard_Phantom_35,ribeiro,9,TIME_LIMIT,10000.0,1000.000000197715,0.8999999999802285,10,1800.007323026657,1800.266,64289.0,64289,22331141.0,0,0.0,666,0.04,0.15,824,14,102,"{""Gomory"": 2, ""Cover"": 19, ""Implied bound"": 32, ""Projected implied bound"": 3, ""Clique"": 2, ""StrongCG"": 2, ""Flow cover"": 12, ""GUB cover"": 28, ""Inf proof"": 1, ""Zero half"": 1}",2133,1989,2043,90,6824,True,
Inst_18_Hard_Phantom_35,drone_index,9,TIME_LIMIT,,2200.0,,0,1800.0366978645325,1803.926,1.0,1,190347.0,31,1986.44,5229,1.4,3.72,30800,15400,848,"{""Learned"": 1, ""Gomory"": 1, ""Cover"": 139, ""Implied bound"": 28, ""Clique"": 84, ""MIR"": 39, ""Flow cover"": 288, ""GUB cover"": 8, ""Mod-K"": 1, ""RLT"": 45, ""Relax-and-lift"": 1, ""BQP"": 20, ""Lazy"": 193}",139869,70569,70569,69300,142739,True,
Inst_18_Hard_Phantom_35,station_copies,9,TIME_LIMIT,8600.0,3000.0,0.6511627906976745,2,1800.1046888828278,1808.975,1.0,1,231064.0,30,2131.142,3183,1.93,2.29,211575,100240,550,"{""Cover"": 23, ""Implied bound"": 405, ""Clique"": 1, ""MIR"": 46, ""Flow cover"": 72, ""Zero half"": 2, ""RLT"": 1}",336429,112149,112149,224280,337890,True,
